loss: 0.0026, recon: 0.0026, kl: 3189.8708
loss: 0.0025, recon: 0.0025, kl: 3195.9297
loss: 0.0026, recon: 0.0026, kl: 3209.8225
epoch: 66, lr: 0.000005, loss: 0.0024
loss: 0.0023, recon: 0.0023, kl: 3161.9851
loss: 0.0023, recon: 0.0023, kl: 3187.8662
loss: 0.0027, recon: 0.0027, kl: 3199.4233
loss: 0.0028, recon: 0.0028, kl: 3187.8689
epoch: 67, lr: 0.000005, loss: 0.0027
loss: 0.0024, recon: 0.0024, kl: 3224.0938
loss: 0.0022, recon: 0.0022, kl: 3218.0669
loss: 0.0024, recon: 0.0024, kl: 3246.7288
loss: 0.0026, recon: 0.0026, kl: 3205.8809
epoch: 68, lr: 0.000005, loss: 0.0027
loss: 0.0025, recon: 0.0025, kl: 3255.5466
loss: 0.0024, recon: 0.0024, kl: 3232.4812
loss: 0.0025, recon: 0.0025, kl: 3248.4670
loss: 0.0025, recon: 0.0025, kl: 3239.6550
epoch: 69, lr: 0.000005, loss: 0.0026
loss: 0.0025, recon: 0.0025, kl: 3264.6875
loss: 0.0023, recon: 0.0023, kl: 3258.2002
loss: 0.0028, recon: 0.0028, kl: 3270.8691
loss: 0.0027, recon: 0.0027, kl: 3262.7449
epoch: 70, lr: 0.000005, loss: 0.0026
loss: 0.0024, recon: 0.0024, kl: 3237.0444
loss: 0.0027, recon: 0.0027, kl: 3228.1897
loss: 0.0024, recon: 0.0024, kl: 3254.7759
loss: 0.0024, recon: 0.0024, kl: 3275.5107
loss: 0.0024, recon: 0.0024, kl: 3240.2759
epoch: 71, lr: 0.000005, loss: 0.0026
loss: 0.0025, recon: 0.0025, kl: 3279.3181
loss: 0.0024, recon: 0.0024, kl: 3291.9678
loss: 0.0025, recon: 0.0025, kl: 3261.3926
loss: 0.0027, recon: 0.0027, kl: 3291.8311
epoch: 72, lr: 0.000005, loss: 0.0023
loss: 0.0024, recon: 0.0024, kl: 3265.0757
loss: 0.0024, recon: 0.0024, kl: 3307.2341
loss: 0.0023, recon: 0.0023, kl: 3293.9116
loss: 0.0023, recon: 0.0023, kl: 3305.7773
epoch: 73, lr: 0.000005, loss: 0.0019
loss: 0.0021, recon: 0.0021, kl: 3302.8618
loss: 0.0023, recon: 0.0023, kl: 3299.1216
loss: 0.0024, recon: 0.0024, kl: 3294.4692
loss: 0.0023, recon: 0.0023, kl: 3316.1079
epoch: 74, lr: 0.000005, loss: 0.0023
loss: 0.0023, recon: 0.0023, kl: 3333.8584
loss: 0.0025, recon: 0.0025, kl: 3308.7793
loss: 0.0026, recon: 0.0026, kl: 3321.4526
loss: 0.0023, recon: 0.0023, kl: 3311.2871
epoch: 75, lr: 0.000005, loss: 0.0023
loss: 0.0023, recon: 0.0023, kl: 3336.4141
loss: 0.0023, recon: 0.0023, kl: 3335.6741
loss: 0.0024, recon: 0.0024, kl: 3307.5820
loss: 0.0024, recon: 0.0024, kl: 3311.5366
epoch: 76, lr: 0.000005, loss: 0.0022
loss: 0.0023, recon: 0.0023, kl: 3304.4719
loss: 0.0023, recon: 0.0023, kl: 3334.5728
loss: 0.0026, recon: 0.0026, kl: 3375.1453
loss: 0.0024, recon: 0.0024, kl: 3365.8313
loss: 0.0022, recon: 0.0022, kl: 3352.9268
epoch: 77, lr: 0.000005, loss: 0.0025
loss: 0.0023, recon: 0.0023, kl: 3381.2861
loss: 0.0026, recon: 0.0026, kl: 3395.5283
loss: 0.0022, recon: 0.0022, kl: 3382.8164
loss: 0.0025, recon: 0.0025, kl: 3375.6831
epoch: 78, lr: 0.000005, loss: 0.0023
loss: 0.0021, recon: 0.0021, kl: 3395.8169
loss: 0.0023, recon: 0.0023, kl: 3378.0083
loss: 0.0025, recon: 0.0025, kl: 3385.0747
loss: 0.0024, recon: 0.0024, kl: 3385.4680
epoch: 79, lr: 0.000005, loss: 0.0023
loss: 0.0022, recon: 0.0022, kl: 3408.3386
loss: 0.0024, recon: 0.0024, kl: 3365.6851
loss: 0.0023, recon: 0.0023, kl: 3405.2666
loss: 0.0024, recon: 0.0024, kl: 3420.1826
epoch: 80, lr: 0.000005, loss: 0.0021
loss: 0.0022, recon: 0.0022, kl: 3392.7261
loss: 0.0022, recon: 0.0022, kl: 3397.6147
